cell,epoch,sweep,current,firing_rate,firing_duration,Rs,Rm,Vm,temperature,spike_width,spike_trough
01168501,3,0,-1.488487720489502,,,20.42683121444657,230.14202713966367,-80.85445152637388,27.20823860168457,,
01168501,3,1,1.403800368309021,0.0,,20.707243779853314,229.8050671815872,-80.05671580084297,27.21913719177246,,
01168501,3,2,4.400962829589844,0.0,,21.153775789414276,205.60576021671292,-81.09122675769734,27.187673568725586,,
01168501,3,3,7.4428887367248535,0.0,,17.177915757085483,221.91531956195828,-80.97999734193922,27.165678024291992,,
01168501,3,4,10.47308349609375,0.0,,16.97531027925446,223.92207384109494,-81.14828127183011,27.20236587524414,,
01168501,3,5,13.415141105651855,0.0,,17.129631281793138,249.20105934143064,-80.55059083014066,27.23192596435547,,
01168501,3,6,16.502914428710938,0.0,,16.51485269314198,245.5513924360275,-81.01166374444354,27.225923538208008,,
01168501,3,7,19.434816360473633,1.0,0.53518,27.378249999959063,215.3990566730499,-82.08844978040173,27.276185989379883,1.1400000000000001,53.04
01168501,3,8,22.480058670043945,5.0,0.9147200000000002,17.48466425274772,197.97416031360623,-80.92963128104145,27.32945442199707,1.04,74.88
01168501,3,9,25.479841232299805,2.5,1.5724,17.225611397257182,210.66574752330777,-80.89019798549079,27.376983642578125,1.04,68.84
01168501,3,10,28.381771087646484,3.5,1.57652,20.261218444861353,218.28594803810117,-81.11909834995093,27.399940490722656,1.12,46.02
01168501,3,11,31.408830642700195,5.0,1.7613800000000004,31.809767335854733,179.5469522476196,-81.76673924154964,27.422100067138672,1.12,99.86
01168501,3,12,34.4488639831543,4.5,1.5593800000000002,19.43947144737909,176.20468139648435,-82.19305622511092,27.427989959716797,1.04,13.66
01168501,3,13,37.42314529418945,6.0,1.75228,19.00037135423704,191.6001886129379,-81.88075062607393,27.46238899230957,1.18,5.58
01168501,3,14,40.369136810302734,5.5,1.84666,25.991323746564543,176.70267820358274,-81.9432760148884,27.521085739135742,1.08,25.0
01168501,3,15,43.44252395629883,7.0,1.8789000000000002,19.177207499840822,203.5274505615234,-81.5950041075273,27.559110641479492,1.08,22.52
01168501,4,0,-1.5066015720367432,,,20.67713236185497,186.2334609031677,-83.67129202673075,27.845558166503906,,
01168501,4,1,1.3966072797775269,0.0,,18.902440825308762,163.28868269920346,-83.31306652401234,27.845447540283203,,
01168501,4,2,4.406983852386475,0.0,,29.968766892082932,215.41875600814816,-81.74544150772269,27.84453582763672,,
01168501,4,3,7.454448223114014,0.0,,3.4327013136459836,200.17918944358823,-82.26326490205652,27.850563049316406,,
01168501,4,4,10.466323852539062,0.0,,19.432166507491925,200.4790902137756,-82.39442207045295,27.863344192504883,,
01168501,4,5,13.409431457519531,0.0,,21.165646200694606,218.97044777870175,-82.59976195435829,27.8586368560791,,
01168501,4,6,16.498302459716797,0.0,,19.44444631987329,189.00664150714871,-82.96842101032685,27.871814727783203,,
01168501,4,7,19.433135986328125,0.0,,20.32078668493372,232.55762457847592,-81.80718566407688,27.863813400268555,,
01168501,4,8,22.47331428527832,0.0,,21.934283945663143,206.05227351188657,-83.36848590057309,27.823535919189453,,
01168501,4,9,25.466567993164062,0.0,,25.309539500562696,205.61268925666806,-82.89928422231556,27.826091766357422,,
01168501,4,10,28.37734031677246,0.0,,26.020681189238,180.04803359508512,-84.298884293512,27.832490921020508,,
01168501,4,11,31.40294075012207,0.0,,17.898430443197288,195.03590464591977,-83.83430752979694,27.825281143188477,,
01168501,4,12,34.43779754638672,0.0,,25.152441420773762,164.9220138788223,-84.50624872704527,27.82621955871582,,
01168501,4,13,37.422019958496094,0.0,,15.432100253867693,171.78350687026975,-83.69630922206942,27.790800094604492,,
01168501,4,14,40.3495979309082,0.0,,13.650308056969712,222.12934494018552,-82.96220775997682,27.77109146118164,,
