Sample,ImageNumber,Children_puncta_Count,AreaShape_Area,Density * 1000,Children_ColocalizedRegion_Count
20200102_5_1_40,15,7,17981,0.389299816,1
20200102_5_1_40,16,5,18565,0.269323997,1
20200102_5_1_40,17,4,18604,0.215007525,1
20200102_5_1_40,18,6,18861,0.318116749,1
20200102_5_1_40,19,12,17977,0.667519608,1
20200102_5_1_40,20,4,16379,0.244215154,1
20200102_5_1_40,21,5,14998,0.333377784,1
20200102_5_1_40,22,5,13633,0.366757133,1
20200102_5_1_40,23,3,12732,0.235626767,1
20200102_5_1_40,24,4,11292,0.354233085,1
20200102_5_1_40,25,4,10524,0.380083618,1
20200102_5_1_40,26,5,10112,0.494462025,1
20200102_5_1_40,27,6,10255,0.585080449,1
20200102_5_1_40,28,6,10703,0.560590489,1
20200102_5_1_40,29,6,10816,0.554733728,1
20200102_5_1_40,30,4,8123,0.492428906,1
20200102_5_1_40,31,4,5892,0.678886626,1
20200102_5_2_40,2,10,3713,2.693239968,1
20200102_5_2_40,3,23,9907,2.321590794,1
20200102_5_2_40,4,10,11944,0.837240455,1
20200102_5_2_40,5,14,11879,1.178550383,1
20200102_5_2_40,6,18,11821,1.522713814,1
20200102_5_2_40,7,9,11699,0.769296521,1
20200102_5_2_40,8,8,11380,0.702987698,1
20200102_5_2_40,9,5,11769,0.424844932,1
20200102_5_2_40,10,6,13565,0.442314781,1
20200102_5_2_40,11,4,16323,0.245052993,1
20200102_5_2_40,12,8,17794,0.449589749,1
20200102_5_2_40,13,5,18814,0.265759541,1
20200102_5_2_40,14,4,19984,0.200160128,1
20200102_5_2_40,15,5,19964,0.250450811,1
20200102_5_2_40,16,3,19414,0.15452766,1
20200102_5_2_40,17,4,18244,0.219250164,1
20200102_5_2_40,18,5,17199,0.290714576,1
20200102_5_2_40,19,6,16042,0.374018202,1
20200102_5_2_40,20,11,14684,0.749114683,1
20200102_5_2_40,21,9,13311,0.676132522,1
20200102_5_2_40,22,9,11351,0.792881684,1
20200102_5_2_40,23,5,9533,0.524493863,1
20200102_5_2_40,24,8,8947,0.894154465,1
20200102_5_2_40,25,5,8608,0.580855019,1
20200102_5_2_40,26,4,8179,0.489057342,1
20200102_5_2_40,27,3,7873,0.381049155,1
20200102_5_2_40,28,9,6635,1.356443105,1
20200102_5_2_40,29,6,5198,1.154290112,1
20200102_5_2_40,30,6,3898,1.539250898,1
