cell,epoch
4dc9441c-7f8f-4bd9-abd1-e7b42a91756d,1
64d9d925-328a-430f-8ec7-bdd9039a4276,1
630b6977-79b4-4564-bf72-532707f976f3,2
9f030412-b942-4018-8321-9e2938702e53,6
9f4023b1-3f0f-4fe2-89fa-b05766a8ceb2,2
d7d37555-a5e3-49ef-acd9-32d8f8d984bc,5
24eaa106-5fc7-41b4-829d-23341484753e,2
7f5eb7b3-7d2a-49cd-bc33-261980889882,2
7f5eb7b3-7d2a-49cd-bc33-261980889882,4
7989d4d3-302a-45ef-85de-410ccfe063f0,3
82b32cfd-011f-4ca3-8fef-06b41a65a4ef,2
f483f3fb-88ca-4bfd-835a-fec87cf9ba78,3
f483f3fb-88ca-4bfd-835a-fec87cf9ba78,4
43d81272-dfea-456b-9b34-07efdcb3b493,2
43d81272-dfea-456b-9b34-07efdcb3b493,3
db6ce465-e53b-4dfd-865b-fa24a60f9a22,2
db6ce465-e53b-4dfd-865b-fa24a60f9a22,3
7747dbae-948a-4368-a03e-ec6f4bb53971,2
7747dbae-948a-4368-a03e-ec6f4bb53971,3
e363b132-16c4-4716-9799-b0465852e6a2,2
78231289-689a-4f82-a56f-99332008fa37,2
78231289-689a-4f82-a56f-99332008fa37,3
0976f281-643a-4c9d-b28b-4fc184b5d950,1
66c3aaa8-b118-44e1-94e0-de2ed6a9a43c,2
79762c70-432a-4846-bc6f-da5e176934cc,3
79762c70-432a-4846-bc6f-da5e176934cc,5
2a170af9-d72c-45e0-8c21-81faa3c53003,2
39edd6db-cd3b-4abe-8ac8-6d4f9e72d24e,2
39edd6db-cd3b-4abe-8ac8-6d4f9e72d24e,3
42862924-3056-44fd-973e-95abfd42f81a,2
42862924-3056-44fd-973e-95abfd42f81a,4
5bd12d78-4336-473b-bcb6-8dfb9d577066,2
e4ba09bb-6bc2-49ca-b3b7-be08b72cc126,2
c31e8e0d-ed38-4d7a-ba50-f0e2742c797f,2
f077af1b-35cf-4e85-b37c-7e01f012158e,2
6d72cd49-6013-4e46-9fba-dc3db577617f,2
54728067-cbd3-466c-a8a1-db5bafb5af78,2
54728067-cbd3-466c-a8a1-db5bafb5af78,3
045810e0-56af-46dd-a21e-768e13a3a9bc,2
045810e0-56af-46dd-a21e-768e13a3a9bc,3
40000be7-24bf-4ca6-ad8c-6d393794c5ff,2
40000be7-24bf-4ca6-ad8c-6d393794c5ff,3
5cd8048c-b523-446f-83d9-28bf4907e865,2
f662312c-23fb-491c-8dc4-43a08cb10500,2
0a46ff60-e807-4223-a9d9-59b9a005b101,2
0a46ff60-e807-4223-a9d9-59b9a005b101,4
494292e4-8b51-42d0-8c59-0c37ad9524e1,2
494292e4-8b51-42d0-8c59-0c37ad9524e1,3
8973d0fb-c572-4860-b569-e3975baeae1d,2
8973d0fb-c572-4860-b569-e3975baeae1d,3
e137ca3f-cf5e-4bcb-8bb6-c75be56ba7f9,3
e137ca3f-cf5e-4bcb-8bb6-c75be56ba7f9,4
5bef74ba-d2c0-476e-9af3-830a2293badc,3
5bef74ba-d2c0-476e-9af3-830a2293badc,4
f011f9b7-d480-46ef-bc95-16098cfedeb0,4
f011f9b7-d480-46ef-bc95-16098cfedeb0,5
2e33b971-5ce6-47d5-92c2-5b77125f9a21,3
2e33b971-5ce6-47d5-92c2-5b77125f9a21,4
