cell,epoch,condition
12722d3f-8288-426e-87dd-5bcb7d5282b3,3,noinj
12722d3f-8288-426e-87dd-5bcb7d5282b3,6,noinj
dc1ff184-bdfa-4a14-98ad-a009faa8f085,2,noinj
dc1ff184-bdfa-4a14-98ad-a009faa8f085,4,noinj
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,5,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,6,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,7,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,8,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,9,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,11,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,12,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,4,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,5,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,6,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,7,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,8,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,9,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,10,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,2,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,3,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,4,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,5,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,6,pr
8486a193-71e5-4db8-a3a8-74dbe1411643,7,pr
0a735370-ea05-4432-8683-c046d22790c8,4,bapta
0a735370-ea05-4432-8683-c046d22790c8,5,bapta
0a735370-ea05-4432-8683-c046d22790c8,6,bapta
0a735370-ea05-4432-8683-c046d22790c8,7,bapta
0a735370-ea05-4432-8683-c046d22790c8,8,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,3,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,5,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,6,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,7,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,8,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,9,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,10,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,11,bapta
78b75c62-f30b-420d-9253-9ed26c32913d,12,bapta
2a3429fa-d50f-45c8-847f-54f9a5b709ed,6,pr
2a3429fa-d50f-45c8-847f-54f9a5b709ed,7,pr
2a3429fa-d50f-45c8-847f-54f9a5b709ed,8,pr
2a3429fa-d50f-45c8-847f-54f9a5b709ed,9,pr
2a3429fa-d50f-45c8-847f-54f9a5b709ed,10,pr
2a3429fa-d50f-45c8-847f-54f9a5b709ed,11,pr
